State,Color1,Color2
Alabama,Red,White
Alaska,None,None
Arizona,Dark Blue,Gold
Arkansas,None,None
California,Blue,Gold
Colorado,None,None
Connecticut,None,None
Deleware,Colonial Blue,Buff
Florida,Orange,Red
Georgia,Red,White
Hawaii,Red,Pink
Idaho,Red,Green
Illinois,None,None
Indiana,Blue,Gold
Iowa,None,None
Kansas,None,None
Kentucky,Orange,None
Louisiana,Blue,White
Maine,None,None
Maryland,Red,White
Massachusetts,Blue,Green
Michigan,None,None
Minnesota,Purple,Gold
Missisippi,None,None
Missouri,None,None
Nebraska,None,None
Nevada,Sikver,Blue
New Hampshire,None,None
New Jersey,Buff,Blue
New Mexico,Red,Yellow
New York,Dark Blue,Gold
North Dakota,None,None
Ohio,Red,White
Oklahoma,Green,White
Oregon,Navy Blue,Gold
Pennsylvania,Blue,Gold
Rhode Isladn,None,None
South Dakota,Navy Blue,Gold
Tennessee,Orange,White
Texas,Blue,White
Utah,Yellow,None
Vermont,None,None
Virginia,None,None
Washington,Dark Green,Gold
West Virginia,Gold,Blue
Wisconsin,None,None
Wyoming,None,None
