Area,Q1-20,Q2-20,Q3-20,Q4-20,Q1-21,Q2-21,Q1-20%,Q2-20%,Q3-20%,Q4-20%,Q1-21%,Q2-21%
United States,"21,481,367","19,477,444","21,138,574","21,477,597","22,038,226","22,740,959",100,100,100,100,100,100
New England,"1,139,549","1,036,564","1,125,065","1,137,957","1,155,361","1,188,516",5.3,5.3,5.3,5.3,5.2,5.2
Connecticut,"284,418","258,045","278,963","284,265","286,975","294,649",1.3,1.3,1.3,1.3,1.3,1.3
Maine,"70,824","64,445","70,412","71,406","72,353","74,604",0.3,0.3,0.3,0.3,0.3,0.3
Massachusetts,"597,756","545,422","591,547","595,183","607,379","625,113",2.8,2.8,2.8,2.8,2.8,2.7
New Hampshire,"90,373","81,024","88,842","90,245","91,400","93,891",0.4,0.4,0.4,0.4,0.4,0.4
Rhode Island,"61,799","56,825","61,273","62,327","62,273","64,170",0.3,0.3,0.3,0.3,0.3,0.3
Vermont,"34,378","30,804","34,028","34,529","34,981","36,089",0.2,0.2,0.2,0.2,0.2,0.2
Mideast,"3,830,224","3,519,596","3,783,554","3,851,635","3,933,581","4,046,811",17.8,18.1,17.9,17.9,17.8,17.8
Delaware,"77,068","71,628","76,380","78,070","77,688","79,282",0.4,0.4,0.4,0.4,0.4,0.3
DC,"146,252","138,511","145,338","148,118","148,229","151,390",0.7,0.7,0.7,0.7,0.7,0.7
Maryland,"421,334","387,137","414,207","420,021","432,503","443,729",2,2,2,2,2,2
New Jersey,"638,654","577,108","624,411","634,144","652,223","671,483",3,3,3,3,3,3
New York,"1,751,311","1,627,416","1,742,921","1,777,389","1,813,748","1,868,224",8.2,8.4,8.2,8.3,8.2,8.2
Maryland,"795,605","717,798","780,296","793,893","809,190","832,704",3.7,3.7,3.7,3.7,3.7,3.7
Great Lakes,"2,839,068","2,569,491","2,801,213","2,846,624","2,912,566","3,008,742",13.2,13.2,13.3,13.3,13.2,13.2
Illinois,"882,625","801,478","866,989","882,376","907,743","938,216",4.1,4.1,4.1,4.1,4.1,4.1
Indiana,"386,174","346,195","381,519","387,459","401,442","415,344",1.8,1.8,1.8,1.8,1.8,1.8
Michigan,"526,833","478,009","523,911","531,728","540,172","559,479",2.5,2.5,2.5,2.5,2.5,2.5
Ohio,"696,626","630,461","685,790","697,368","710,820","732,117",3.2,3.2,3.2,3.2,3.2,3.2
Wisconsin,"346,811","313,347","343,004","347,694","352,389","363,586",1.6,1.6,1.6,1.6,1.6,1.6
Plains,"1,346,071","1,220,877","1,331,572","1,363,874","1,402,257","1,456,794",6.3,6.3,6.3,6.4,6.4,6.4
Iowa,"196,663","179,925","197,094","203,388","210,576","220,929",0.9,0.9,0.9,0.9,1,1
Kansas,"179,788","161,778","177,487","181,514","185,785","193,139",0.8,0.8,0.8,0.8,0.8,0.8
